customer_id,product_id,purchase_date,purchase_amount,rating,review,search_queries
1,1,15-01-2024,999.99,5,Excellent product,apple iphone
2,2,10-02-2024,799.99,4,Very good phone,samsung galaxy
3,3,05-03-2024,1200,4,Great laptop,lenovo yoga
4,5,20-04-2024,120,5,Perfect for running,nike shoes
5,6,15-05-2024,150,4,Comfortable and stylish,adidas sneakers
6,7,10-06-2024,350,5,Best headphones,sony headphones
7,8,01-07-2024,50,4,Very useful,amazon echo
8,9,15-07-2024,400,5,Great for adventures,gopro camera
9,10,05-08-2024,90,4,Good quality,puma jacket
10,1,15-08-2024,999.99,5,Love it,apple iphone
11,402,04-05-2024,1298.7,4,Excellent product,bose headphones
12,398,07-05-2024,462.61,3,Disappointed,smart tv
13,434,25-05-2024,206.48,4,Amazing!,sony headphones
14,393,10-11-2024,1751.09,4,Excellent product,garmin watch
15,287,12-01-2024,671.16,1,Amazing!,dell laptop
16,127,18-08-2024,1143.57,5,Excellent product,lenovo yoga
17,474,15-05-2024,226.39,4,Very useful,samsung galaxy
18,78,23-10-2024,1261.61,3,Excellent product,gopro camera
19,18,13-03-2024,1212.5,1,Love it,puma jacket
20,214,19-04-2024,1900.23,1,Best headphones,amazon echo
21,54,23-08-2024,790.38,2,Good quality,amazon echo
22,457,08-10-2024,806.8,2,Very good phone,garmin watch
23,126,22-04-2024,1256.46,2,Love it,puma jacket
24,348,19-11-2024,916.33,2,Not worth the price,amazon echo
25,20,23-02-2024,1375.69,4,Perfect for running,lenovo yoga
26,92,19-10-2024,1958.19,4,Best headphones,adidas sneakers
27,279,20-07-2024,1140.44,3,Satisfied,ps5
28,345,03-12-2024,1530.38,2,Best headphones,gopro camera
29,492,07-05-2024,1366.41,3,Good quality,sony headphones
30,436,29-04-2024,1408.75,1,Satisfied,ps5
31,39,06-07-2024,655.36,3,Best headphones,nike shoes
32,96,25-06-2024,711.11,5,Highly recommended,nike shoes
33,106,14-11-2024,1574.84,1,Very good phone,puma jacket
34,355,23-08-2024,1281.6,3,Very useful,ps5
35,278,28-01-2024,611.38,5,Love it,dell laptop
