product_id,product_name,description
1,Apple iPhone 13,"The Apple iPhone 13 is Apple's latest smartphone, featuring advanced technology and sleek design, perfect for staying connected and capturing life's moments."
2,Samsung Galaxy S21,"The Samsung Galaxy S21 by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience."
3,Lenovo Yoga Laptop,"The Lenovo Yoga Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability."
4,HP Pavilion Laptop,"The HP Pavilion Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability."
5,Nike Running Shoes,"The Nike Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts."
6,Adidas Sneakers,"The Adidas Sneakers is a high-quality Sports product, designed to meet all your needs and exceed expectations."
7,Sony WH-1000XM4 Headphones,"The Sony WH-1000XM4 Headphones is a high-quality Electronics product, designed to meet all your needs and exceed expectations."
8,Amazon Echo Dot,"The Amazon Echo Dot is a high-quality Electronics product, designed to meet all your needs and exceed expectations."
9,GoPro HERO9,"The GoPro HERO9 is a high-quality Electronics product, designed to meet all your needs and exceed expectations."
10,Puma Sports Jacket,"The Puma Sports Jacket is a high-quality Sports product, designed to meet all your needs and exceed expectations."
11,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience."
12,Reebok Running Shoes,"The Reebok Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts."
13,Under Armour T-Shirt,"The Under Armour T-Shirt is a high-quality Sports product, designed to meet all your needs and exceed expectations."
14,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations."
15,Dell Inspiron Laptop,"The Dell Inspiron Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability."
16,Garmin Forerunner 45,"The Garmin Forerunner 45 is a high-quality Sports product, designed to meet all your needs and exceed expectations."
17,Apple MacBook Pro,"The Apple MacBook Pro is a high-quality Electronics product, designed to meet all your needs and exceed expectations."
18,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations."
19,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations."
20,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations."
21,Nike Yoga Mat,"The Nike Yoga Mat is a high-quality Sports product, designed to meet all your needs and exceed expectations."
22,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations."
23,Garmin Forerunner 45,"The Garmin Forerunner 45 is a high-quality Sports product, designed to meet all your needs and exceed expectations."
24,Sony PlayStation 5,"The Sony PlayStation 5 is a high-quality Electronics product, designed to meet all your needs and exceed expectations."
25,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations."
26,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations."
